country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Liberia,2,7358,8.90354343566472,0.011206896026706659,5
Liberia,3,7360,8.903815211722922,2.717760582022777e-4,6
Liberia,4,7360,8.903815211722922,0,7
Liberia,5,7384,8.907070776182689,0.0032555644597671574,8
Liberia,6,7392,8.90815361332152,0.001082837138831394,9
Liberia,7,7397,8.908829791587868,6.761782663478044e-4,10
Liberia,8,7397,8.908829791587868,0,11
Liberia,9,7400,8.909235279192261,4.054876043930733e-4,12
Liberia,10,7400,8.909235279192261,0,13
Liberia,11,7402,8.909505512946101,2.702337538398325e-4,14
Liberia,12,7432,8.913550280493675,0.004044767547574324,15
Liberia,13,7434,8.913819350857198,2.6907036352241676e-4,16
Liberia,14,7434,8.913819350857198,0,17
Liberia,15,7451,8.916103530553727,0.002284179696529165,18
Liberia,16,7455,8.916640227198839,5.366966451116895e-4,19
Liberia,17,7455,8.916640227198839,0,20
Liberia,18,7456,8.916774356365426,1.3412916658772644e-4,21
Liberia,19,7459,8.917176635955164,4.0227958973737543e-4,22
Liberia,20,7489,8.921190556249368,0.004013920294203999,23
Liberia,21,7493,8.92172453036431,5.339741149423816e-4,24
Liberia,22,7497,8.922258219503062,5.336891387521803e-4,25
Liberia,23,7500,8.922658299524402,4.0008002133973264e-4,26
Liberia,24,7504,8.92319149068606,5.331911616579532e-4,27
Liberia,25,7508,8.9237243977064,5.329070203394792e-4,28
Liberia,26,7538,8.92771217382708,0.003987776120681019,29
Liberia,27,7548,8.92903790648844,0.0013257326613604903,30
Liberia,28,7578,8.933004591578547,0.0039666850901056705,31
Liberia,29,7656,8.94324493313279,0.010240341554244026,32
Liberia,30,7732,8.953122840328222,0.009877907195431135,33
Liberia,31,7883,8.972463821059907,0.019340980731685775,34
Liberia,32,7898,8.974364841846596,0.001901020786688079,35
Liberia,33,7929,8.978282203272398,0.003917361425802568,36
Liberia,34,7961,8.982309899088579,0.004027695816180454,37
Liberia,35,7961,8.982309899088579,0,38
Liberia,36,7974,8.983941527941301,0.0016316288527224998,39
Liberia,37,7985,8.985320060649112,0.0013785327078110754,40
Liberia,38,7988,8.985695694535705,3.7563388659300756e-4,41
Liberia,39,7991,8.986071187374463,3.7549283875826234e-4,42
Liberia,40,7996,8.98669669562029,6.255082458270778e-4,43
Liberia,41,7998,8.986946789406764,2.5009378647311564e-4,44
Liberia,42,8014,8.98894529119609,0.001998501789326923,45
Liberia,43,8014,8.98894529119609,0,46
Liberia,44,8022,8.989943046329998,9.977551339073187e-4,47
Liberia,45,8035,8.991562278171614,0.0016192318416159424,48
Liberia,46,8043,8.99255742690407,9.951487324553199e-4,49
Liberia,47,5929,8.687610843707368,-0.30494658319670087,50
Liberia,48,6278,8.744806737401898,0.05719589369453004,51
Liberia,49,6278,8.744806737401898,0,52
Libya,-3,392868,12.881228956569199,NA,0
Libya,-2,396452,12.890310253460175,0.00908129689097592,1
Libya,-1,403144,12.907049097204451,0.016738843744276366,2
Libya,0,419543,12.946921302616063,0.03987220541161207,3
Libya,1,445876,13.007796165439727,0.06087486282366328,4
Libya,2,466666,13.053369077344929,0.04557291190520196,5
Libya,3,482153,13.086016770049216,0.03264769270428758,6
Libya,4,492154,13.106546954627701,0.020530184578484878,7
Libya,5,497279,13.116906515779831,0.010359561152130325,8
Libya,6,499767,13.121897268792585,0.004990753012753757,9
Libya,7,500864,13.12408988613003,0.002192617337444247,10
Libya,8,501420,13.125199352223538,0.00110946609350826,11
Libya,9,501738,13.125833350079612,6.339978560738757e-4,12
Libya,10,501738,13.125833350079612,0,13
Libya,11,501834,13.126024666697239,1.9131661762727958e-4,14
Libya,12,501862,13.126080460483418,5.5793786179592075e-5,15
Libya,13,501904,13.12616414532635,8.368484293086453e-5,16
Libya,14,501916,13.126188053995236,2.3908668886463147e-5,17
Libya,15,501919,13.126194031073142,5.977077906393902e-6,18
Libya,16,501954,13.126263761009128,6.972993598530763e-5,19
Libya,17,501987,13.126329501924205,6.574091507793867e-5,20
Libya,18,502016,13.12638727067591,5.776875170404594e-5,21
Libya,19,502040,13.126435076774383,4.7806098473657244e-5,22
Libya,20,502076,13.126506781637199,7.170486281538047e-5,23
Libya,21,502110,13.126574498175794,6.771653859516391e-5,24
Libya,22,502138,13.126630261294082,5.576311828825453e-5,25
Libya,23,502189,13.12673182184168,1.0156054759846711e-4,26
Libya,24,502289,13.126930930234955,1.9910839327508256e-4,27
Libya,25,502642,13.12763346605984,7.025358248853308e-4,28
Libya,26,503611,13.129559423646107,0.001925957586266236,29
Libya,27,505350,13.133006537502808,0.003447113856701378,30
Libya,28,505956,13.134204987966926,0.0011984504641180393,31
Libya,29,506515,13.135309217237296,0.0011042292703695722,32
Libya,30,506746,13.135765170844515,4.5595360721861766e-4,33
Libya,31,506838,13.135946704886592,1.815340420776579e-4,34
Libya,32,506889,13.136047323692331,1.0061880573886128e-4,35
Libya,33,506922,13.13611242458394,6.510089160904897e-5,36
Libya,34,506954,13.136175548674087,6.312409014697096e-5,37
Libya,35,506994,13.136254448183767,7.889950967943093e-5,38
Libya,36,507010,13.136286006244685,3.1558060918257524e-5,39
Libya,37,507012,13.136289950932275,3.944687589907403e-6,40
Libya,38,507024,13.136313618731053,2.366779877860381e-5,41
Libya,39,507034,13.136333341468806,1.9722737752303487e-5,42
Libya,40,507051,13.136366869230288,3.352776148268788e-5,43
Libya,41,507060,13.136384618766582,1.774953629407605e-5,44
Libya,42,507070,13.136404340104084,1.9721337501721337e-5,45
Libya,43,507078,13.13642011689406,1.5776789975774363e-5,46
Libya,44,507084,13.1364319493232,1.183242913960214e-5,47
Libya,45,507100,13.13646350178311,3.155245991059985e-5,48
Libya,46,507112,13.136487165474726,2.3663691615993798e-5,49
Libya,47,384005,12.858410852318427,-0.27807631315629955,50
Libya,48,388183,12.86923215689829,0.010821304579863522,51
Libya,49,388734,12.870650584072315,0.001418427174025183,52
Liechtenstein,-3,6597,8.794370279222871,NA,0
Liechtenstein,-2,7020,8.856518497019858,0.062148217796986316,1
Liechtenstein,-1,7746,8.954931860074698,0.09841336305484027,2
Liechtenstein,0,8590,9.0583540149783,0.10342215490360296,3
Liechtenstein,1,9514,9.160519676992227,0.10216566201392574,4
Liechtenstein,2,10411,9.250618218474752,0.09009854148252572,5
Liechtenstein,3,11051,9.310276200588783,0.05965798211403062,6
